"","Response.ID","intellect","public","private","experience","external","internal","transactional","Allport.extrinsic","Allport.intrinsic","Worthington.intrapersonal","Worthington.interpersonal"
"1",36697,4,4,4,4,4,4,4,3,3,2.66666666666667,2.75
"2",36698,5.5,5,5.5,4.66666666666667,4.11111111111111,3.55555555555556,4.22222222222222,3,2.77777777777778,2.33333333333333,2.5
"3",36699,7,3,5.5,6,5.33333333333333,6.22222222222222,4.11111111111111,3.33333333333333,3.44444444444444,3,3
"4",36700,3.5,4,5.5,5.66666666666667,5.33333333333333,4.88888888888889,4.33333333333333,2.91666666666667,3.66666666666667,3.16666666666667,2.5
"5",36701,1,4,1,1,5.66666666666667,7,6.22222222222222,3.83333333333333,4.77777777777778,4.33333333333333,5
"6",36702,1.5,3,1,2.66666666666667,6.66666666666667,6.77777777777778,4.44444444444444,1.58333333333333,5,4.83333333333333,5
"7",36703,1.5,3,1.5,3,5.44444444444444,6.77777777777778,4.66666666666667,1.58333333333333,4.44444444444444,4.33333333333333,3.25
"8",36704,4,5,6,6.66666666666667,4.77777777777778,5.11111111111111,4.44444444444444,2.41666666666667,3.22222222222222,3,3.5
"9",36705,2.5,4,1,3.33333333333333,6.33333333333333,6.11111111111111,4.77777777777778,3.33333333333333,3.66666666666667,3.66666666666667,3.25
"10",36706,4,3,1,2.66666666666667,6,6.33333333333333,5.33333333333333,1.75,4.77777777777778,4.5,4.25
"11",36707,3.5,4,2,4,5.77777777777778,6.66666666666667,5,2.25,3.88888888888889,3.66666666666667,3.25
"12",36708,3.5,4,2,3.66666666666667,5,6,4.77777777777778,1.75,4.11111111111111,4.16666666666667,4
"13",36709,1.5,3,1,1,6,6.66666666666667,6.33333333333333,1,5,4.66666666666667,4.5
"14",36710,2,3,2.5,2.66666666666667,5.66666666666667,6.33333333333333,4.55555555555556,2.41666666666667,5,4.83333333333333,3.5
"15",36711,1,4,1,1,5.44444444444444,6.22222222222222,4.77777777777778,1,5,4.83333333333333,4.75
"16",36833,1.5,4,2,3.33333333333333,4.66666666666667,4.88888888888889,4.44444444444444,2.41666666666667,3.22222222222222,3.33333333333333,3.25
"17",36836,1.5,2,2,2,5,5.55555555555556,4.44444444444444,3,3.66666666666667,3.83333333333333,3.25
"18",36837,4,3,3.5,3.33333333333333,4,4.11111111111111,4.22222222222222,3.16666666666667,3.11111111111111,3.16666666666667,3.25
"19",36838,6.5,7,5.5,5.66666666666667,4.88888888888889,4.55555555555556,3.88888888888889,3.16666666666667,2.66666666666667,2.83333333333333,3.5
"20",36840,1.5,3,1,1.33333333333333,5.88888888888889,6,4,1.75,4,4.66666666666667,4
"21",36841,2,3,1.5,3.33333333333333,6.22222222222222,5.88888888888889,5.22222222222222,2.08333333333333,3.88888888888889,4,4
"22",36842,2.5,5,2,2.66666666666667,3.88888888888889,3.33333333333333,4,2.75,2.88888888888889,2.83333333333333,3.25
"23",36844,4.5,4,6,6,4.11111111111111,3.66666666666667,3.88888888888889,3.25,2.66666666666667,2,2.5
"24",36845,3,5,2.5,3,4.11111111111111,5.88888888888889,3.88888888888889,2.66666666666667,3.33333333333333,3.66666666666667,2.5
"25",36846,1.5,3,2.5,1.33333333333333,5.88888888888889,6,4.66666666666667,1.33333333333333,3.66666666666667,4,4.25
"26",36847,1.5,4,4,2.33333333333333,5.77777777777778,6.77777777777778,5.44444444444444,2.91666666666667,4.22222222222222,4.16666666666667,5
"27",36848,2.5,3,4,3.33333333333333,5.33333333333333,6.77777777777778,4.88888888888889,3.16666666666667,4.77777777777778,4.83333333333333,4.25
"28",36849,2,3,1,3.33333333333333,6,6.77777777777778,5.44444444444444,1.08333333333333,4.22222222222222,4,3
"29",36850,2.5,3,1,3,6.33333333333333,6.77777777777778,4.88888888888889,1.16666666666667,4.66666666666667,5,5
"30",36900,5.5,5,3,2.66666666666667,3.88888888888889,5.11111111111111,3.77777777777778,3.08333333333333,3.22222222222222,2.83333333333333,2.25
"31",36901,3.5,5,4.5,5,6,5.55555555555556,4.88888888888889,2.83333333333333,3.77777777777778,3.33333333333333,3
"32",36902,4.5,3,5.5,6,6.11111111111111,5.88888888888889,4.66666666666667,2.08333333333333,3.44444444444444,3.33333333333333,3.75
"33",36903,2.5,3,3,4.66666666666667,6.22222222222222,6.77777777777778,4.77777777777778,2.33333333333333,4.22222222222222,4,4
"34",36904,1,1,2,3,5.11111111111111,7,5,1.75,5,5,4.5
"35",36905,1.5,2,1.5,1.33333333333333,5.77777777777778,6.55555555555556,5.88888888888889,1.66666666666667,4.11111111111111,4.5,4.75
"36",36906,5,5,3,3,4.55555555555556,5.22222222222222,4.55555555555556,3.58333333333333,2.55555555555556,2.33333333333333,2.75
"37",36907,4,3,2.5,3.33333333333333,3.88888888888889,5.33333333333333,4.77777777777778,2.66666666666667,4.11111111111111,4,2
"38",36908,3,3,1,4.66666666666667,5.55555555555556,6.77777777777778,5.33333333333333,1.66666666666667,4.22222222222222,4.16666666666667,4.5
"39",36909,3,3,2.5,3.66666666666667,6,6,4.33333333333333,3.25,3.66666666666667,3.5,5
"40",36910,2,3,2,3,6.22222222222222,6.55555555555556,5,1.41666666666667,4.66666666666667,4.5,5
"41",36914,2,3,3.5,4,4.77777777777778,5.77777777777778,4.77777777777778,2.08333333333333,4.11111111111111,4.16666666666667,3.5
"42",36915,4,4,4,4,6,4.77777777777778,4,3.08333333333333,3,3,3
